id_adresy,radek_1,radek_2,radek_3,mesto,psc,kraj_okres,stat,dalsi_detaily_adresy
1,Sluneční 999,,,Biskupice u Luhačovic,76341,Zlínský kraj,Česká republika,
2,Pod Lesem 1234,,,Staré Sedliště,34801,Plzeňský kraj,Česká republika,
3,Javorová 88,,,Bechyně,39165,Jihočeský kraj,Česká republika,
4,Na Výsluní 456,,,Maršovice,25755,Středočeský kraj,Česká republika,
5,Ke Stráni 77,,,Únešov,33038,Plzeňský kraj,Česká republika,
6,Višňová 310,,,Cholina,78322,Olomoucký kraj,Česká republika,
7,Na Rybníčku 15,,,Praha 1,11000,Hlavní město Praha,Česká republika,
8,Na Výsluní 211,,,Praha 4,14700,Hlavní město Praha,Česká republika,
9,Na Hrázi 17,,,Brno,60200,Jihomoravský kraj,Česká republika,
10,Na Kopci 222,,,Vysoké Mýto,56601,Pardubický kraj,Česká republika,
11,Pod Lipami 101,,,Ostrava,71100,Moravskoslezský kraj,Česká republika,
12,Na Stráni 12,,,Hořičky,55205,Královéhradecký kraj,Česká republika,
13,Za Sadem 37,,,Bohdalov,59213,Kraj Vysočina,Česká republika,
14,Polní cesta 88,,,Biskupice u Luhačovic,76341,Zlínský kraj,Česká republika,
15,Na Výsluní 501,,,Únešov,33038,Plzeňský kraj,Česká republika,
16,Pod Lesem 77,,,Hvozdná,76311,Zlínský kraj,Česká republika,
17,Slunná 39,,,Vsetín,75501,Zlínský kraj,Česká republika,
18,Višňová 13,,,Praha 10,10600,Hlavní město Praha,Česká republika,
19,Na Hrázi 21,,,Český Krumlov,38101,Jihočeský kraj,Česká republika,
20,Pod Strání 5,,,Pardubice,53009,Pardubický kraj,Česká republika,
