id_kontaktu,id_zakaznika,pohlavi,krestni_jmeno,prijmeni,telefon_kontaktu
1,4,muž,Cierra,Collins,+73(2)0854391820
2,6,muž,Jennifer,Doyle,482-949-1364x17500
3,8,žena,Carli,Blick,(608)868-5069x554
4,14,žena,Gustave,Ebert,00414184198
5,3,muž,Danika,Bauch,1-368-227-6322
6,9,žena,Rachelle,Stamm,048-342-0880x5170
7,10,muž,Sid,Legros,658.850.7946x9993
8,7,žena,Adella,Streich,1-613-226-7727
9,4,muž,Etha,Raynor,385-123-4556
10,15,žena,Skye,Ratke,+62(3)0497423927
11,10,žena,Leif,Buckridge,+96(5)1807022818
12,6,žena,Shyann,Hills,(842)564-7057x121
13,3,muž,Darion,Leannon,1-279-181-8737
14,8,žena,Amani,Kunze,405-058-1659
15,14,žena,Hellen,Little,136.724.5322
