id_adresy,detaily_adresy
1,"28481 Crist Circle
Východní Burdettestad, IA 21232"
2,"0292 Mitchel Pike
Přístav Abefurt, IA 84402-4249"
3,"4062 Mante Place
Západní Lindsey, DE 76199-8015"
4,"99666 Julie Junction
Marvinburgh, OH 16085-1623"
5,"195 Mara Rue
Jenkinsmouth, OK 22345"
6,"11784 Stehr Road
Přístav Isaac, NV 61159"
7,"69482 Renner Ville Apartmá 653
Langworthborough, OH 95195"
8,"36594 O'Keefe Lock
New Cali, RI 42319"
9,"7181 Wuckert Port Byt 571
Lake Zariaburgh, IL 98085"
10,"92594 Marvin Trafficway
Pourosfurt, IA 98649"
11,"0258 Kessler Mountains apartmá 688
Mooreside, ME 41586-5022"
12,"69275 Mose Drive
Wilkinsonstad, CO 79055-7622"
13,"8207 Morissette Lakes
Východní Rheaview, ID 47493"
14,"145 Alice Corners
Willmsport, NV 36680"
15,"521 Molly Harbors byt 567
Reingerland, HI 97099-1005"
