id_zakaznika,kod_moznosti_platby,kod_zakaznika,nazev_zakaznika,adresa_zakaznika,telefon_zakaznika,email_zakaznika
1,Kreditní karta,401,Ahmed,"Višňová 71, Brno, Jihomoravský kraj",254-072-4068x33935,margarett.vonrueden@example.com
2,Kreditní karta,665,Chauncey,"Pod Lesem 52, Ostrava, Moravskoslezský kraj",+41(8)1897032009,stiedemann.sigrid@example.com
3,Přímé inkaso,844,Lukas,"Na Výsluní 126, Zlín, Zlínský kraj",197-417-3557,joelle.monahan@example.com
4,Přímé inkaso,662,Lexus,"Sluneční 146, Liberec, Liberecký kraj",+08(3)8056580281,gbrekke@example.com
5,Kreditní karta,848,Tara,"Pod Lesem 171, Hradec Králové, Královéhradecký kraj",1-064-498-6609x051,nicholas44@example.com
6,Kreditní karta,916,Jon,"Višňová 134, Pardubice, Pardubický kraj",(443)013-3112x528,cconroy@example.net
7,Kreditní karta,172,Cristobal,"Sluneční 179, Olomouc, Olomoucký kraj",877-150-8674x63517,shawna.cummerata@example.net
8,Přímé inkaso,927,Adah,"Pod Lesem 103, České Budějovice, Jihočeský kraj",1-695-364-7586x59256,kathlyn24@example.org
9,Kreditní karta,808,Yasmeen,"Rybniční 146, Ústí nad Labem, Ústecký kraj",587.398.2400x31176,ludwig54@example.net
10,Kreditní karta,887,Karson,"Polní 54, Karlovy Vary, Karlovarský kraj",857-844-9339x40140,moriah91@example.com
11,Přímé inkaso,611,Cordell,"Na Výsluní 199, Praha, Hlavní město Praha",(730)934-8249,qstokes@example.org
12,Kreditní karta,182,Darron,"Na Výsluní 72, Tábor, Jihočeský kraj",117.822.3577,gwisozk@example.net
13,Kreditní karta,589,Keňa,"Sluneční 8, Zlín, Zlínský kraj",08023680831,maxime86@example.net
14,Přímé inkaso,240,Abbie,"Polní 53, Brno, Jihomoravský kraj",07594320656,celine.bogan@example.com
15,Kreditní karta,980,Lyric,"Na Rybníčku 6, Plzeň, Plzeňský kraj",1-472-036-0434,schultz.arnoldo@example.net
