contact_id,customer_id,gender,jméno_jméno,příjmení,contact_phone
1,4,muži,Cierra,Collins,+73(2)0854391820
2,6,muži,Jennifer,Doyle,482-949-1364x17500
3,8,samice,Carli,Blick,(608)868-5069x554
4,14,samice,Gustave,Ebert,00414184198
5,3,muži,Danika,Bauch,1-368-227-6322
6,9,samice,Rachelle,Stamm,048-342-0880x5170
7,10,muži,Sid,Legros,658.850.7946x9993
8,7,samice,Adella,Streich,1-613-226-7727
9,4,muži,Etha,Raynor,385-123-4556
10,15,samice,Skye,Ratke,+62(3)0497423927
11,10,samice,Leif,Buckridge,+96(5)1807022818
12,6,samice,Shyann,Hills,(842)564-7057x121
13,3,muži,Darion,Leannon,1-279-181-8737
14,8,samice,Amani,Kunze,405-058-1659
15,14,samice,Hellen,Little,136.724.5322
